MoleculeID,MolWeight,nbAtoms,nbHeavyAtoms,nbC,nbO,nbN,nbAromAtom,nbRing,nbHeteroRing,Sp3Sp2HybRatio,nbRotBd,nbHBdAcc,ndHBdDon,nbLipinskiFailures,TopoPolSurfAir,MolarRefract,CombDipolPolariz
DTXSID3026516,152.047344116,19,11,8,3,0,0,2,1,0.5,0,3,0,0,43.37,38.5258,2.296
DTXSID2021159,150.031694052,17,11,8,3,0,0,2,1,0.25,0,3,0,0,43.37,39.1136,2.396
DTXSID3024235,315.10033045,37,22,16,0,3,17,3,1,0.125,4,3,0,0,30.71,14.6128,1.496
DTXSID6058924,226.06299418,27,17,14,3,0,12,2,0,0,3,3,1,0,54.37,12.5653,1.807
DTXSID00905001,573.018171428,56,37,20,11,3,16,3,0,0.15,10,13,4,1,251.3,56.6855,7.246
DTXSID1058927,260.024021828,27,18,14,3,0,12,2,0,0,3,3,1,0,54.37,18.1809,1.94
DTXSID8029602,382.287180456001,66,28,26,2,0,12,2,0,0.538461538461538,6,0,2,1,40.46,71.4288,1.282
DTXSID3020205,312.136159120001,43,23,19,4,0,12,2,0,0.263157894736842,9,4,0,1,52.6,33.7297,1.817
DTXSID7023938,336.157288488001,48,24,18,6,0,6,1,0,0.5,13,6,0,1,78.9,56.3053,1.822
DTXSID001006300,271.214743788,48,19,15,3,1,0,0,0,0.866666666666667,11,4,2,1,69.89,69.522,0.903
DTXSID90235006,154.08546094,21,11,6,1,4,0,2,2,0.666666666666667,0,5,2,0,73.42,36.6965,1.36
DTXSID8023470,403.029662516,40,27,17,5,3,17,3,1,0,7,8,3,0,162.08,33.5959,3.991
DTXSID8041743,380.163711260001,49,29,24,1,4,22,4,0,0.0833333333333333,4,4,1,1,69.67,13.5688,1.943
DTXSID7074379,90.031694052,12,6,3,3,0,0,0,0,0.666666666666667,1,3,2,0,57.53,19.0054,0.629
DTXSID1052581,165.078978592,23,12,9,2,1,6,1,0,0.222222222222222,3,3,1,0,38.33,20.9851,1.131
DTXSID8025040,268.15756326,40,20,17,1,2,12,2,0,0.235294117647059,6,3,0,1,23.55,29.9236,1.687
DTXSID1020190,421.98785728,38,28,16,8,2,12,4,2,0.0625,3,10,3,0,184.03,45.7567,5.947
DTXSID50893863,88.052429496,14,6,4,2,0,0,1,1,1,0,2,1,0,29.46,19.9176,0.678
DTXSID30888671,196.14632988,34,14,12,2,0,0,1,0,0.75,3,2,0,0,26.3,55.9935,0.591
DTXSID8032463,468.036282604,43,31,15,7,4,12,2,1,0.2,11,9,2,1,154.19,45.2158,3.519
DTXSID0047375,506.024783348,48,34,23,5,2,12,4,1,0.0869565217391304,5,7,3,1,106.94,73.384,3.361
DTXSID0074635,198.100442308,28,14,9,3,2,0,1,1,0.555555555555556,5,5,1,0,58.64,49.5123,0.853
DTXSID90888672,186.089208928,27,13,9,4,0,0,0,0,0.444444444444444,9,4,0,0,44.76,47.8397,1.008
DTXSID4020539,193.089149352,26,15,14,0,1,12,2,0,0.0769230769230769,2,1,0,1,23.79,9.8202,1.743
DTXSID6021030,198.07931294,25,15,12,1,2,12,2,0,0,3,1,0,0,32.67,8.6571,1.474
DTXSID1047312,325.064981228,31,22,12,1,3,6,1,0,0.363636363636364,6,4,1,0,70.12,38.6815,1.758
DTXSID3020122,317.005769874,31,19,10,3,3,6,2,1,0.3,5,6,0,0,130.69,53.2259,3.034
DTXSID2058203,275.210995800001,45,20,15,0,5,9,2,2,0.666666666666667,8,5,1,0,69.1,44.1641,1.88
DTXSID1029627,32.026214748,6,2,1,1,0,0,0,0,1,0,1,1,0,20.23,8.2613,0.449
DTXSID2061220,74.07316494,15,5,4,1,0,0,0,0,1,0,1,1,0,20.23,22.0651,0.37
DTXSID7073935,74.07316494,15,5,4,1,0,0,0,0,1,0,1,1,0,20.23,22.0651,0.37
DTXSID50904766,117.914383072,5,4,1,0,0,0,0,0,1,0,0,0,0,0,21.3642,0.409
DTXSID8027325,192.027002596,21,13,6,7,0,0,0,0,0.5,5,7,4,0,132.13,35.6239,1.351
DTXSID4041573,224.081360274,31,14,8,5,0,0,0,0,0.875,8,5,0,0,71.64,50.2491,1.926
