MoleculeID,LogD55_pred,LogD55_predRange,LogD74_pred,LogD74_predRange,AD_LogD,AD_index_LogD,Conf_index_LogD,LogD_CAS_neighbor_1,LogD_CAS_neighbor_2,LogD_CAS_neighbor_3,LogD_CAS_neighbor_4,LogD_CAS_neighbor_5,LogD_InChiKey_neighbor_1,LogD_InChiKey_neighbor_2,LogD_InChiKey_neighbor_3,LogD_InChiKey_neighbor_4,LogD_InChiKey_neighbor_5,LogD_DTXSID_neighbor_1,LogD_DTXSID_neighbor_2,LogD_DTXSID_neighbor_3,LogD_DTXSID_neighbor_4,LogD_DTXSID_neighbor_5
DTXSID9063613,6.8,[6.68:6.92],6.8,[6.68:6.92],0,0.5,0.432,4813-57-4,112-11-8,1120-28-1,48076-38-6,1120-34-9,FSAJWMJJORKPKS-UHFFFAOYSA-N,PZQSQRCNMZGWFT-UHFFFAOYSA-N,QGBRLVONZXHAKJ-UHFFFAOYSA-N,NGYRYRBDIPYKTL-UHFFFAOYSA-N,ZYNDJIBBPLNPOW-UHFFFAOYSA-N,DTXSID9063613,DTXSID9059412,DTXSID2061515,DTXSID0068494,DTXSID0051578
DTXSID4040715,2.58,[2.55:2.61],2.58,[2.55:2.61],0,0.5,0.481,48145-04-6,10595-06-9,5739-82-2,3199-61-9,943-88-4,RZVINYQDSSQUKO-UHFFFAOYSA-N,CEXQWAAGPPNOQF-UHFFFAOYSA-N,VLYKXVDKUMJTIY-UHFFFAOYSA-N,KAWQPOUWLVOHKU-UHFFFAOYSA-N,WRRZKDVBPZBNJN-UHFFFAOYSA-N,DTXSID4040715,DTXSID6044773,DTXSID10875903,DTXSID60348894,DTXSID9061338
DTXSID3026279,3.72,[-0.67:8.11],3.71,[-2.58:10],1,0.717,0.7335,482-89-3,19837-84-4,1090-16-0,604-75-1,86552-09-2,ZYXBTFUCIUWLOM-UHFFFAOYSA-N,XBXWZQQQBVBPAC-UHFFFAOYSA-N,YOYCVPIABOOYPK-UHFFFAOYSA-N,ADIMAYPTOBDMTL-UHFFFAOYSA-N,BAFBTALEMBECSK-UHFFFAOYSA-N,DTXSID3026279,DTXSID20342176,DTXSID40148793,DTXSID1021087,DTXSID00333663
DTXSID3063623,10.7,[10.6:10.7],10.7,[10.6:10.7],0,0.5,0.36,4851-50-7,158966-92-8,56073-10-0,82-16-6,70321-86-7,KWBCXNHXXWZCMM-UHFFFAOYSA-N,UCHDWCPVSPXUMX-UHFFFAOYSA-N,XDXSRIVLWONVPW-UHFFFAOYSA-N,YNPQDABMOAMHNC-UHFFFAOYSA-N,OLFNXLXEGXRUOI-UHFFFAOYSA-N,DTXSID3063623,DTXSID9023334,DTXSID5032529,DTXSID9058862,DTXSID2028985
DTXSID8063628,4.02,[3.66:4.38],4.02,[3.66:4.38],0,0.322,0.371,575-43-9,637-59-2,571-58-4,90-12-0,104-52-9,CBMXCNPQDUJNHT-UHFFFAOYSA-N,XMZQWZJMTBCUFT-UHFFFAOYSA-N,APQSQLNWAIULLK-UHFFFAOYSA-N,QPUYECUOLPXSFR-UHFFFAOYSA-N,XZBXAYCCBFTQHH-UHFFFAOYSA-N,DTXSID7022415,DTXSID1060924,DTXSID8035423,DTXSID9020877,DTXSID10146206
DTXSID5052125,2.51,[2.37:2.65],2.51,[2.37:2.65],0,0.3485,0.3995,56138-10-4,5337-93-9,5973-71-7,82657-70-3,3360-41-6,WWHATUWNHYNMNW-UHFFFAOYSA-N,PATYHUUYADUHQS-UHFFFAOYSA-N,POQJHLBMLVTHAU-UHFFFAOYSA-N,TZZUWLNIZBCCGL-UHFFFAOYSA-N,LDZLXQFDGRCELX-UHFFFAOYSA-N,DTXSID60884702,DTXSID00201535,DTXSID2041626,DTXSID90375178,DTXSID3062994
DTXSID50883401,8.27,[7.01:9.53],8.27,[5.11:11.43],1,0.44,0.374,61597-27-1,84-80-0,53306-54-0,110553-27-0,360-70-3,PJPBVOAEXHKPAB-UHFFFAOYSA-N,MBWXNTAXLNYFJB-UHFFFAOYSA-N,MTYUOIVEVPTXFX-UHFFFAOYSA-N,GAODDBNJCKQQDY-UHFFFAOYSA-N,JKWKMORAXJQQSR-UHFFFAOYSA-N,DTXSID60875539,DTXSID8023472,DTXSID5052173,DTXSID6044199,DTXSID7023352
DTXSID8027581,5.5,[5.48:5.52],5.5,[5.48:5.52],0,0.5,0.4425,4904-61-4,1077-16-3,1078-71-3,538-68-1,80858-47-5,ZOLLIQAKMYWTBR-FFWAUJBHSA-N,LTEQMZWBSYACLV-UHFFFAOYSA-N,LBNXAWYDQUGHGX-UHFFFAOYSA-N,PWATWSYOIIXYMA-UHFFFAOYSA-N,HLMIVULQFMULRM-UHFFFAOYSA-N,DTXSID8027581,DTXSID8061476,DTXSID3061477,DTXSID6022054,DTXSID4072869
DTXSID8049412,-0.34,[-5.54:4.86],-0.11,[-7.21:6.99],1,1,0.7955,491-36-1,2214-53-1,1709-52-0,5319-71-1,1196-57-2,QMNUDYFKZYBWQX-UHFFFAOYSA-N,SBWJLHPCEHEABR-UHFFFAOYSA-N,OISQSDKFWKJEBA-UHFFFAOYSA-N,SKAYLCIAMUNIHK-UHFFFAOYSA-N,FFRYUAVNPBUEIC-UHFFFAOYSA-N,DTXSID8049412,DTXSID70474774,DTXSID30168965,DTXSID70275783,DTXSID6061604
DTXSID0063650,1.1,[-2.83:5.03],-0.22,[-6.05:5.61],1,0.707,0.649,4926-55-0,96-96-8,100418-33-5,616-86-4,99-59-2,LFOUYKNCQNVIGI-UHFFFAOYSA-N,QFMJFXFXQAFGBO-UHFFFAOYSA-N,SCZQUWZLEIYDBD-UHFFFAOYSA-N,ISFYBUAVOZFROB-UHFFFAOYSA-N,NIPDVSLAMPAWTP-UHFFFAOYSA-N,DTXSID0063650,DTXSID3044750,DTXSID20143261,DTXSID8022084,DTXSID0020943
